num__Soil_pH,num__Soil_Moisture,num__Organic_Carbon,num__Electrical_Conductivity,num__Temperature_C,num__Humidity,num__Rainfall_mm,num__Sunlight_Hours,cat__Wind_Speed_kmh,cat__Crop_Growth_Stage,cat__Field_Area_hectare,cat__Mulching_Used,cat__Previous_Irrigation_mm,cat__Region,Total_Water,Evaporation,Soil_Fertility,Heat_Stress
6.0,42.68,0.9,1.8,13.41,64.4,716.72,4.05,13.45,Vegetative,4.25,No,53.06,North,759.4,54.3105,0.2787134024690205,6.7622715986396695
8.1,35.91,0.63,2.8,12.59,64.87,1741.26,9.94,19.35,Sowing,13.53,No,70.74,West,1777.17,125.1446,0.1533985173247042,6.706511786169568
5.45,14.6,1.09,1.15,35.03,57.55,1810.71,5.5,10.55,Harvest,9.28,No,36.66,South,1825.31,192.665,0.4101054876646666,7.609354886919556
4.98,44.08,0.55,2.4,22.63,37.54,2414.31,6.97,10.42,Sowing,12.67,No,106.7,North,2458.39,157.7311,0.1499401472909148,6.745859919729901
6.63,25.21,0.56,1.53,14.5,87.58,825.22,5.75,3.57,Harvest,11.09,Yes,90.18,South,850.4300000000001,83.375,0.1999517881702252,7.147488458296757
7.16,52.31,0.6,1.47,40.27,71.35,2097.4,6.4,10.81,Flowering,8.42,Yes,66.29,Central,2149.71,257.728,0.2174594109592199,7.963552094415419
8.11,58.37,1.18,1.96,31.7,74.18,2322.44,6.52,17.57,Vegetative,13.53,No,51.94,North,2380.81,206.684,0.335506519501254,7.763236421934497
6.1,21.36,1.04,3.23,22.33,52.99,1965.95,7.03,2.17,Harvest,6.52,No,59.38,South,1987.31,156.9799,0.2198283694950843,7.0768790434565965
6.52,25.25,0.8,0.31,38.88,38.48,638.83,10.5,4.89,Harvest,4.36,Yes,101.98,South,664.08,408.24,0.4766608102749149,7.311286785553832
5.11,57.07,1.38,0.93,40.64,66.56,1657.22,10.46,8.59,Harvest,8.42,Yes,96.98,North,1714.29,425.09440000000006,0.5394281864721773,7.903226217451919
7.95,48.42,1.55,2.48,27.22,76.96,311.22,4.97,7.02,Flowering,11.34,Yes,61.22,Central,359.64000000000004,135.2834,0.3683876903252648,7.647715050554443
5.23,28.46,1.59,2.45,12.66,37.63,1290.39,4.48,19.72,Flowering,2.57,No,112.23,South,1318.85,56.716800000000006,0.3790318510400088,6.168345916212071
5.17,53.49,0.4,2.97,12.02,29.13,2106.35,7.86,7.22,Vegetative,13.98,No,49.41,East,2159.84,94.4772,0.0959969144083997,5.861192408767714
5.42,40.88,1.3,3.46,15.49,80.23,445.69,9.78,17.21,Sowing,12.87,Yes,11.48,South,486.57,151.4922,0.2557887086758272,7.125896499475947
5.37,14.47,1.19,0.83,35.49,38.28,2036.12,8.86,14.43,Flowering,1.95,Yes,75.04,West,2050.59,314.4414,0.5009408645334487,7.214914337479446
6.26,55.25,0.38,1.57,19.7,87.08,578.37,9.22,17.43,Harvest,11.05,No,60.32,West,633.62,181.634,0.1378992714446,7.448028630860004
5.05,47.08,0.99,2.08,12.23,36.02,1746.71,4.44,8.09,Flowering,0.78,No,17.69,East,1793.79,54.30120000000001,0.2787134024690205,6.090233737631059
6.35,17.45,0.36,3.49,41.75,93.0,808.3,8.04,11.47,Flowering,8.88,Yes,21.04,Central,825.75,335.67,0.0771260031952289,8.264556460707258
5.87,42.81,1.59,1.98,40.8,44.19,140.34,5.05,13.31,Harvest,14.31,No,40.84,Central,183.15,206.04,0.4275899043888003,7.497735092729779
7.93,24.78,0.64,0.24,32.08,81.59,766.38,7.16,12.61,Harvest,14.77,No,119.42,South,791.16,229.6928,0.4161603972249123,7.870321472954043
5.06,56.68,0.96,2.05,29.7,66.94,249.37,7.23,10.03,Flowering,5.29,No,57.44,East,306.05,214.731,0.2736496506991576,7.595446603388858
5.2,26.72,1.5,2.09,39.29,87.11,1927.15,4.54,13.18,Harvest,0.48,No,7.58,South,1953.87,178.3766,0.3957089331627997,8.138433858370261
7.61,41.27,1.21,0.69,22.73,93.04,843.83,4.59,13.9,Sowing,9.36,Yes,54.66,Central,885.1,104.3307,0.5399822080574462,7.657187892445031
5.62,61.17,1.5,1.86,20.55,38.49,1538.38,10.13,6.81,Vegetative,3.19,No,54.93,North,1599.5500000000002,208.17150000000004,0.4216504325291816,6.674522880971883
7.91,8.21,0.5,1.26,33.44,31.62,1273.79,7.71,2.88,Vegetative,12.44,Yes,65.2,Central,1282.0,257.8224,0.1998658664448641,6.96448791330196
5.66,34.88,0.67,2.47,21.98,60.78,1652.95,4.12,9.67,Sowing,12.33,Yes,36.64,Central,1687.8300000000002,90.5576,0.1765411938784551,7.198141990597745
7.85,33.51,1.5,0.18,37.53,44.55,1902.34,10.89,10.46,Vegetative,4.12,Yes,94.96,North,1935.85,408.7017,0.820302356045192,7.42235068816973
8.02,25.79,0.63,1.21,28.45,52.44,540.27,5.03,13.83,Flowering,9.27,No,90.64,South,566.06,143.1035,0.2508115366434532,7.308487873056991
6.66,47.51,1.35,1.69,38.0,79.39,2443.08,7.69,18.57,Vegetative,14.71,No,52.1,South,2490.59,292.22,0.4067034983593109,8.012289995402014
7.09,46.96,0.84,2.41,18.8,59.85,2325.56,10.37,16.07,Vegetative,7.98,No,30.6,West,2372.52,194.956,0.2202066916409,7.026586653827808
5.95,52.43,0.89,1.45,25.02,33.23,103.82,5.97,17.88,Sowing,9.77,Yes,13.27,North,156.25,149.36939999999998,0.3098827824319734,6.724330634010063
5.36,21.5,0.4,3.3,19.96,53.98,1629.18,4.54,15.73,Harvest,0.3,No,63.98,East,1650.68,90.6184,0.0889474860164961,6.983271573270255
7.12,54.51,1.39,1.35,14.34,67.37,962.41,8.65,15.34,Flowering,9.99,No,79.18,Central,1016.92,124.041,0.4646702832703729,6.874287219542016
6.47,16.17,0.37,1.76,30.89,50.16,361.8,10.32,10.3,Sowing,12.56,Yes,11.58,West,377.97,318.7848,0.1258023248230032,7.346295588543776
5.83,44.79,1.0,2.9,38.96,41.47,1444.73,10.06,18.66,Sowing,9.83,No,111.18,North,1489.52,391.9376,0.2282586519809802,7.388124499383199
7.28,63.16,0.49,3.4,39.36,39.76,139.69,4.31,11.52,Sowing,11.11,No,78.36,North,202.85,169.64159999999998,0.1055877625625651,7.356250246482152
5.43,19.97,1.37,2.61,33.96,77.48,1194.47,5.64,19.86,Sowing,14.47,No,78.46,Central,1214.44,191.5344,0.3217221186917721,7.875583179504098
7.98,49.58,0.68,2.6,28.91,81.2,2104.65,8.43,1.73,Harvest,0.5,Yes,12.12,East,2154.23,243.7113,0.1730191641316411,7.761528699031612
7.37,16.99,0.92,1.48,20.79,29.09,2028.49,6.66,0.71,Sowing,8.32,Yes,67.19,North,2045.48,138.4614,0.3155168714452249,6.406518699691137
6.11,63.12,0.43,0.55,30.48,60.28,285.15,8.31,15.39,Sowing,6.45,No,28.22,East,348.27,253.2888,0.2448419137752886,7.516615223255045
6.85,33.6,1.11,0.78,28.67,39.51,1533.33,4.17,7.6,Harvest,5.32,No,111.57,South,1566.9299999999998,119.5539,0.484643137820347,7.033287500876955
4.99,11.68,0.45,3.01,13.28,43.51,447.57,9.21,12.76,Flowering,7.35,Yes,21.33,North,459.25,122.3088,0.1063575247134948,6.360979109232912
7.58,52.38,1.4,3.27,30.06,73.94,838.83,10.84,15.84,Sowing,2.7,No,28.65,South,891.21,325.8504,0.2835752904991275,7.706899152796022
7.77,49.16,0.36,1.41,36.57,77.14,61.83,6.18,11.49,Harvest,1.32,No,20.02,West,110.99,226.0026,0.1392205726966835,7.945204605121116
6.7,13.46,1.05,0.97,31.71,89.98,999.4,7.95,7.88,Vegetative,2.59,No,0.06,West,1012.86,252.0945,0.4272232886368811,7.956569926145915
7.23,24.27,1.11,0.66,19.54,28.43,738.0,7.54,14.86,Harvest,6.99,Yes,83.56,South,762.27,147.33159999999998,0.5120297178307953,6.321707062103216
5.71,42.52,1.53,3.08,37.26,44.41,1391.81,9.33,12.17,Vegetative,14.25,Yes,116.47,South,1434.33,347.6358,0.3184537311185346,7.4119891850341935
6.74,23.71,1.38,1.2,14.08,54.13,1322.33,10.47,12.39,Sowing,1.23,No,67.36,Central,1346.04,147.41760000000002,0.4869054400483387,6.637455128504347
6.54,45.37,0.85,1.55,19.4,80.42,207.54,5.74,17.66,Flowering,0.37,No,68.61,South,252.91,111.356,0.2876820724517809,7.353176727039729
7.4,14.85,0.5,1.19,26.97,30.51,697.79,8.73,1.19,Harvest,1.29,No,7.82,Central,712.64,235.4481,0.2056396497853383,6.71399417940918
7.86,24.86,0.83,2.55,36.59,66.37,2160.09,8.43,12.81,Vegetative,11.45,Yes,34.63,West,2184.9500000000003,308.4537,0.2101011209010303,7.795431821927081
7.19,11.96,0.71,0.69,27.0281615807904,46.43,2433.92,10.25,17.99,Sowing,14.8,Yes,100.86,East,2445.88,277.03865620310154,0.3507402084189178,7.135621693755259
8.01,54.07,1.16,3.38,38.73,41.84,376.93,6.09,7.59,Harvest,14.85,Yes,7.36,North,431.0,235.8657,0.2349457763708376,7.391084230454376
7.73,15.0,1.15,2.23,36.94,84.5,518.12,5.64,9.77,Flowering,10.86,No,15.4,East,533.12,208.3416,0.3045665871537896,8.0463668238141
7.99,52.4,0.45,2.15,36.39,52.15,2151.2,5.46,16.76,Flowering,2.53,Yes,15.0,South,2203.6,198.6894,0.1335313926245226,7.548944997275447
6.48,51.42,0.59,2.58,34.22,55.35,1010.97,10.06,3.97,Vegetative,10.35,No,66.8,South,1062.39,344.2532,0.1525532353981011,7.547014749936402
6.57,47.05,1.13,0.38,22.69,36.8,1907.59,5.7,13.76,Vegetative,7.5,No,68.12,West,1954.64,129.333,0.5981992539745792,6.728619043660925
6.74,19.06,0.41,1.84,12.68,37.06,259.22,10.63,0.68,Vegetative,6.15,No,102.63,East,278.28000000000003,134.7884,0.1348509441685314,6.154689927010898
7.75,64.41,0.51,3.4,35.64,37.46,1142.94,5.62,6.43,Vegetative,5.64,Yes,104.91,East,1207.35,200.2968,0.1096694008822137,7.197491041168791
7.83,35.3,1.24,0.42,25.45,47.73,2435.57,5.47,10.47,Harvest,10.44,Yes,39.14,North,2470.8700000000003,139.2115,0.6276692511804384,7.103098764570664
8.15,11.04,1.45,0.5,16.13,89.19,1706.5,7.59,10.12,Harvest,7.31,Yes,50.63,East,1717.54,122.4267,0.676340062243564,7.272144679832135
4.97,33.93,1.11,2.93,28.27,30.02,1500.68,4.84,8.11,Vegetative,14.33,Yes,38.48,South,1534.61,136.8268,0.2487666562021074,6.744842624926196
7.86,43.07,1.48,2.32,41.55,75.92,899.86,7.46,3.78,Sowing,8.13,Yes,99.74,Central,942.93,309.963,0.368651134985448,8.056894635227662
5.77,52.42,0.87,1.43,34.21,85.63,2178.54,6.22,12.44,Flowering,12.3,Yes,52.92,East,2230.96,212.7862,0.3060312111199775,7.9828949963400815
7.6,43.6,1.44,2.1,17.49,61.52,2233.57,6.67,5.66,Flowering,12.58,No,18.54,South,2277.17,116.65829999999998,0.381524900562156,6.981920563779172
6.24,62.37,0.48,2.93,12.38,89.55,2079.71,9.12,15.93,Flowering,2.0,Yes,48.8,South,2142.08,112.9056,0.1152352635775847,7.011781004203435
7.74,50.42,0.92,0.56,16.42,73.54,144.37,4.45,15.73,Sowing,2.8,Yes,81.36,Central,194.79,73.06900000000002,0.4635727389154451,7.0971573761492
5.58,50.48,1.18,0.63,32.09,45.28,967.95,7.3,7.12,Vegetative,12.72,Yes,0.7,West,1018.43,234.257,0.5446044685269834,7.282097866878834
8.18,37.89,1.31,0.85,14.58,80.72,2409.18,6.08,6.76,Sowing,4.34,Yes,12.92,North,2447.07,88.6464,0.5353863885085873,7.071486433438255
6.2,9.72,0.61,1.03,18.48,67.08,1806.88,10.1,10.93,Vegetative,9.09,No,100.49,West,1816.6,186.648,0.2627431241045288,7.123381364824781
6.26,9.23,1.51,0.38,27.3,89.29,2266.6,5.08,10.39,Sowing,0.38,Yes,66.86,East,2275.83,138.684,0.7391730029552276,7.799186354314856
6.77,41.41,0.97,0.2,34.59,71.58,1939.73,9.93,18.89,Vegetative,4.21,No,108.48,South,1981.14,343.4787,0.5924056107584136,7.814784131765816
7.79,11.7,0.55,0.68,18.07,89.21,1643.84,4.61,13.94,Flowering,10.9,Yes,78.83,West,1655.54,83.3027,0.2832077920568598,7.38586639108918
6.27,32.63,0.54,3.05,21.5,61.92,2169.48,7.55,11.46,Vegetative,8.67,No,92.8,South,2202.11,162.325,0.125163142954006,7.194647039219475
5.51,49.86,0.65,0.98,26.52,41.0,2277.0,8.89,1.76,Vegetative,8.63,No,50.91,West,2326.86,235.7628,0.2838870014832293,6.99239050181883
8.1,13.11,0.59,3.3,17.33,70.22,1840.41,5.8,4.44,Harvest,8.39,No,44.76,West,1853.52,100.51399999999998,0.1285772807872639,7.104893688716533
7.61,16.39,0.54,1.54,17.66,50.65,279.51,7.12,9.27,Sowing,7.02,Yes,24.06,North,295.9,125.7392,0.1927655159550378,6.797358770639533
6.79,14.18,0.5,0.79,37.32,35.99,2020.79,5.47,4.6,Vegetative,4.06,Yes,41.86,West,2034.97,204.1404,0.2463361977134846,7.203514741308825
5.94,33.64,1.29,1.7,35.25,58.72,2315.43,7.76,12.0,Vegetative,14.14,Yes,85.09,Central,2349.07,273.54,0.3905394578914887,7.635728916694128
5.81,56.5,0.74,0.49,25.14,80.27,501.07,4.77,17.02,Flowering,6.38,No,91.21,North,557.5699999999999,119.9178,0.4032254655146596,7.610351575699236
6.66,32.17,0.72,0.31,24.22,93.25,687.47,6.16,11.6,Flowering,11.93,Yes,110.81,North,719.64,149.1952,0.4380086558406357,7.722905467466165
5.79,57.37,1.25,3.44,39.26,88.0,1152.0,6.05,2.22,Vegetative,12.97,Yes,5.84,Central,1209.37,237.523,0.2480558716941061,8.147832407098894
6.19,44.06,1.55,2.43,32.03,38.83,537.01,8.41,13.96,Vegetative,10.67,No,43.48,East,581.0699999999999,269.3723,0.372869629858713,7.126669820627277
6.62,43.61,1.04,2.56,18.78,88.89,1936.06,10.97,13.07,Flowering,8.86,Yes,12.54,West,1979.67,206.0166,0.2562957586311102,7.420790978730048
7.97,24.9,0.68,0.17,31.58,62.23,57.76,9.8,2.3,Harvest,8.38,Yes,108.22,West,82.66,309.484,0.4581818902805687,7.583869925991087
5.43,35.62,0.93,0.5,30.33,63.69,913.26,10.39,9.63,Flowering,4.44,Yes,33.87,West,948.88,315.1287,0.4824261492442927,7.566682426121991
4.94,9.52,1.41,0.65,36.33,85.77,1158.81,10.89,2.74,Vegetative,14.58,Yes,78.82,West,1168.33,395.6337,0.6176396280518002,8.044634011530837
5.48,18.42,0.98,1.7,21.88,89.57,1990.81,7.87,4.17,Harvest,2.66,No,98.0,Central,2009.23,172.19559999999998,0.3096609791705561,7.581103548238998
6.89,46.46,0.41,0.83,19.69,33.99,465.02,6.94,5.78,Vegetative,1.08,No,10.51,Central,511.48,136.64860000000002,0.2021598990136189,6.507670321870984
7.12,17.11,0.82,0.56,19.97,94.31,953.11,6.46,2.63,Flowering,7.67,No,39.58,South,970.22,129.00619999999998,0.4224146664219376,7.541349197989231
6.94,51.32,0.99,0.11,37.48,73.09,201.06,4.72,7.03,Sowing,2.03,No,107.71,Central,252.38,176.90559999999996,0.6375773294051346,7.915863990932206
5.08,37.03,0.93,2.35,16.14,45.79,2283.92,10.56,3.38,Harvest,3.82,Yes,83.62,South,2320.9500000000003,170.4384,0.2449926637567303,6.606718562238899
5.35,49.0,1.12,0.27,32.96,43.68,1676.37,9.53,17.97,Vegetative,7.66,Yes,96.02,East,1725.37,314.1088,0.6322764654729194,7.272879387984314
7.62,50.5,0.74,1.7,29.11,92.06,2230.28,8.52,7.25,Sowing,2.8,No,30.82,Central,2280.78,248.0172,0.2422196983750235,7.893895379444859
6.42,63.75,0.91,2.13,33.83,87.14,2215.65,7.25,9.45,Harvest,6.82,No,10.82,South,2279.4,245.2675,0.2552116874209968,7.989203165176498
8.01,63.03,0.65,0.19,15.51,46.9,1465.54,6.26,1.87,Sowing,10.29,No,87.11,North,1528.57,97.0926,0.4358122644974562,6.590876432082174
6.11,25.74,1.52,1.07,32.25,81.85,1736.7,6.09,0.88,Sowing,0.59,No,80.09,South,1762.44,196.4025,0.5506035952229098,7.878785111628135
6.93,51.68,1.47,2.93,15.5,71.01,2230.79,9.59,8.36,Sowing,6.44,No,110.58,West,2282.47,148.645,0.3177595276890588,7.004568873546474
8.19,52.76,0.9,2.93,24.29,85.69,292.5,10.18,13.43,Flowering,14.72,No,91.44,Central,345.26,247.2722,0.2062070417833114,7.641281203841471
5.48,40.14,0.81,1.34,40.6,79.61,731.38,9.23,16.3,Vegetative,14.37,Yes,91.67,South,771.52,374.73800000000006,0.2972515234679316,8.081217121906834
5.16,31.7,1.13,0.98,37.08,53.41,591.23,10.35,17.38,Vegetative,4.29,No,114.01,Central,622.9300000000001,383.778,0.4515258814846988,7.591580545193895
6.76,47.31,0.5,1.75,25.28,65.0,1293.64,6.82,16.57,Sowing,6.74,Yes,34.44,East,1340.95,172.4096,0.1670540846631661,7.405009222718033
5.43,12.63,1.54,3.03,34.61,81.89,2474.68,6.25,15.73,Vegetative,14.23,Yes,11.54,East,2487.31,216.3125,0.3236286779806011,7.949872310343977
4.83,18.06,1.0,3.28,22.57,54.65,2101.21,9.04,3.86,Harvest,1.83,No,20.32,Central,2119.27,204.0328,0.2099730881244647,7.118381210775973
7.89,59.84,1.33,1.26,14.46,56.88,116.44,10.7,19.7,Vegetative,8.58,Yes,102.17,West,176.28,154.722,0.4627873892159931,6.713545091645283
7.31,18.1,1.44,0.31,33.36,34.8,1354.4,8.2,4.46,Sowing,13.78,Yes,92.37,West,1372.5,273.552,0.7415737744654196,7.057835973357872
5.05,25.24,0.97,1.03,17.79,59.93,2130.35,8.45,5.21,Vegetative,9.83,Yes,49.87,West,2155.59,150.32549999999998,0.3905764956144136,6.972751226734201
7.99,31.57,1.41,3.21,36.18,30.39,2320.52,5.01,2.73,Flowering,11.93,Yes,30.68,West,2352.09,181.2618,0.2888690162113096,7.003529169437876
6.27,61.67,0.33,0.68,13.42,43.64,2233.82,4.62,1.33,Sowing,1.31,Yes,30.23,North,2295.49,62.0004,0.1793409286558168,6.374426344354884
5.38,49.28,1.19,1.25,34.36,58.56,790.57,7.74,7.68,Sowing,2.97,No,115.52,North,839.85,265.9464,0.4245412551689782,7.607441831167551
6.01,20.47,0.76,2.29,36.55,67.46,1104.19,8.56,14.31,Sowing,2.02,Yes,47.37,West,1124.66,312.868,0.2078293163411672,7.81062150403656
7.26,27.96,1.49,3.49,22.38,29.41,1491.98,9.76,6.63,Flowering,10.85,Yes,21.72,South,1519.94,218.4288,0.2865678662083775,6.4910206072157415
5.81,37.77,1.59,2.01,32.58,86.79,687.08,5.3,11.82,Vegetative,13.0,No,16.06,North,724.85,172.67399999999998,0.4241162247342649,7.947543602844141
7.91,58.21,0.67,2.67,20.81,51.04,1173.99,9.25,17.31,Harvest,6.76,Yes,51.34,Central,1232.2,192.4925,0.1676826860458346,6.968984329859224
7.49,40.21,1.11,0.59,36.74,79.46,1067.03,4.16,5.58,Sowing,1.68,Yes,68.01,Central,1107.24,152.8384,0.5295177567781434,7.979462312303665
5.12,60.93,0.56,1.85,24.3,74.64,56.84,4.4,16.47,Flowering,13.07,Yes,34.9,East,117.77,106.92000000000002,0.1793932970148662,7.503704098244519
6.81,30.06,0.62,0.63,35.08,58.04,2355.53,4.93,17.95,Vegetative,1.65,Yes,93.86,West,2385.59,172.94439999999997,0.3223502013976578,7.619254623660248
5.85,25.82,0.59,2.23,34.92,27.62,1048.46,8.94,0.63,Harvest,14.03,No,12.43,East,1074.28,312.1848,0.1677682853839186,6.87263615878444
5.98,10.93,1.11,3.04,33.86,61.83,2133.99,6.47,16.61,Vegetative,0.98,No,32.69,South,2144.92,219.0742,0.242752022702586,7.647100600653656
