num__Soil_pH,num__Soil_Moisture,num__Organic_Carbon,num__Electrical_Conductivity,num__Temperature_C,num__Humidity,num__Rainfall_mm,num__Sunlight_Hours,cat__Soil_Type,cat__Wind_Speed_kmh,cat__Crop_Type,cat__Crop_Growth_Stage,cat__Season,cat__Irrigation_Type,cat__Water_Source,cat__Field_Area_hectare,cat__Mulching_Used,cat__Previous_Irrigation_mm,cat__Region,Total_Water,Evaporation,Soil_Fertility,Heat_Stress
5.06,56.68,0.96,2.05,29.7,66.94,249.37,7.23,Silt,10.03,Wheat,Flowering,Kharif,Rainfed,Rainwater,5.29,No,57.44,East,306.05,214.731,0.2736496506991576,7.595446603388858
5.2,26.72,1.5,2.09,39.29,87.11,1927.15,4.54,Silt,13.18,Maize,Harvest,Kharif,Sprinkler,Rainwater,0.48,No,7.58,South,1953.8700000000001,178.3766,0.3957089331627997,8.138433858370261
7.61,41.27,1.21,0.69,22.73,93.04,843.83,4.59,Sandy,13.9,Wheat,Sowing,Zaid,Sprinkler,Groundwater,9.36,Yes,54.66,Central,885.1,104.3307,0.5399822080574462,7.657187892445031
5.62,61.17,1.5,1.86,20.55,38.49,1538.38,10.13,Sandy,6.81,Wheat,Vegetative,Kharif,Rainfed,Groundwater,3.19,No,54.93,North,1599.5500000000002,208.17150000000004,0.42165043252918166,6.674522880971883
7.91,8.21,0.5,1.26,33.44,31.62,1273.79,7.71,Clay,2.88,Maize,Vegetative,Zaid,Drip,Rainwater,12.44,Yes,65.2,Central,1282.0,257.82239999999996,0.19986586644486415,6.96448791330196
5.66,34.88,0.67,2.47,21.98,60.78,1652.95,4.12,Silt,9.67,Wheat,Sowing,Rabi,Sprinkler,Reservoir,12.33,Yes,36.64,Central,1687.8300000000002,90.55760000000001,0.17654119387845518,7.198141990597745
7.85,33.51,1.5,0.18,37.53,44.55,1902.34,10.89,Loamy,10.46,Maize,Vegetative,Zaid,Canal,Rainwater,4.12,Yes,94.96,North,1935.85,408.7017,0.820302356045192,7.42235068816973
8.02,25.79,0.63,1.21,28.45,52.44,540.27,5.03,Sandy,13.83,Wheat,Flowering,Kharif,Drip,Groundwater,9.27,No,90.64,South,566.06,143.1035,0.25081153664345324,7.308487873056991
6.66,47.51,1.35,1.69,38.0,79.39,2443.08,7.69,Sandy,18.57,Maize,Vegetative,Zaid,Sprinkler,River,14.71,No,52.1,South,2490.59,292.22,0.40670349835931097,8.012289995402014
7.09,46.96,0.84,2.41,18.8,59.85,2325.56,10.37,Sandy,16.07,Wheat,Vegetative,Kharif,Rainfed,Reservoir,7.98,No,30.6,West,2372.52,194.956,0.2202066916409,7.026586653827808
5.95,52.43,0.89,1.45,25.02,33.23,103.82,5.97,Clay,17.88,Cotton,Sowing,Kharif,Sprinkler,Rainwater,9.77,Yes,13.27,North,156.25,149.36939999999998,0.3098827824319734,6.724330634010063
5.36,21.5,0.4,3.3,19.96,53.98,1629.18,4.54,Sandy,15.73,Wheat,Harvest,Kharif,Sprinkler,Rainwater,0.3,No,63.98,East,1650.68,90.61840000000001,0.08894748601649619,6.983271573270255
7.12,54.51,1.39,1.35,14.34,67.37,962.41,8.65,Loamy,15.34,Wheat,Flowering,Rabi,Drip,Rainwater,9.99,No,79.18,Central,1016.92,124.041,0.46467028327037296,6.8742872195420155
6.47,16.17,0.37,1.76,30.89,50.16,361.8,10.32,Silt,10.3,Maize,Sowing,Kharif,Rainfed,Rainwater,12.56,Yes,11.58,West,377.97,318.7848,0.12580232482300324,7.346295588543776
5.83,44.79,1.0,2.9,38.96,41.47,1444.73,10.06,Sandy,18.66,Sugarcane,Sowing,Kharif,Canal,Reservoir,9.83,No,111.18,North,1489.52,391.93760000000003,0.22825865198098022,7.388124499383199
7.28,63.16,0.49,3.4,39.36,39.76,139.69,4.31,Sandy,11.52,Potato,Sowing,Zaid,Sprinkler,River,11.11,No,78.36,North,202.85,169.64159999999998,0.10558776256256518,7.356250246482152
5.43,19.97,1.37,2.61,33.96,77.48,1194.47,5.64,Sandy,19.86,Wheat,Sowing,Zaid,Sprinkler,Rainwater,14.47,No,78.46,Central,1214.44,191.5344,0.3217221186917721,7.875583179504098
7.98,49.58,0.68,2.6,28.91,81.2,2104.65,8.43,Silt,1.73,Maize,Harvest,Zaid,Sprinkler,River,0.5,Yes,12.12,East,2154.23,243.7113,0.1730191641316411,7.761528699031612
7.37,16.99,0.92,1.48,20.79,29.09,2028.49,6.66,Loamy,0.71,Potato,Sowing,Kharif,Canal,Groundwater,8.32,Yes,67.19,North,2045.48,138.4614,0.31551687144522494,6.406518699691137
6.11,63.12,0.43,0.55,30.48,60.28,285.15,8.31,Sandy,15.39,Rice,Sowing,Zaid,Canal,Rainwater,6.45,No,28.22,East,348.27,253.2888,0.2448419137752886,7.516615223255045
6.85,33.6,1.11,0.78,28.67,39.51,1533.33,4.17,Clay,7.6,Sugarcane,Harvest,Rabi,Sprinkler,River,5.32,No,111.57,South,1566.9299999999998,119.5539,0.48464313782034707,7.033287500876955
4.99,11.68,0.45,3.01,13.28,43.51,447.57,9.21,Sandy,12.76,Wheat,Flowering,Rabi,Drip,Reservoir,7.35,Yes,21.33,North,459.25,122.3088,0.10635752471349488,6.360979109232912
7.58,52.38,1.4,3.27,30.06,73.94,838.83,10.84,Silt,15.84,Wheat,Sowing,Rabi,Rainfed,Groundwater,2.7,No,28.65,South,891.21,325.8504,0.28357529049912755,7.706899152796022
7.77,49.16,0.36,1.41,36.57,77.14,61.83,6.18,Sandy,11.49,Potato,Harvest,Rabi,Sprinkler,River,1.32,No,20.02,West,110.99,226.0026,0.1392205726966835,7.945204605121116
6.7,13.46,1.05,0.97,31.71,89.98,999.4,7.95,Clay,7.88,Sugarcane,Vegetative,Rabi,Drip,Rainwater,2.59,No,0.06,West,1012.86,252.0945,0.42722328863688114,7.956569926145915
7.23,24.27,1.11,0.66,19.54,28.43,738.0,7.54,Silt,14.86,Maize,Harvest,Rabi,Drip,River,6.99,Yes,83.56,South,762.27,147.33159999999998,0.5120297178307953,6.321707062103216
5.71,42.52,1.53,3.08,37.26,44.41,1391.81,9.33,Sandy,12.17,Maize,Vegetative,Kharif,Rainfed,Rainwater,14.25,Yes,116.47,South,1434.33,347.63579999999996,0.3184537311185346,7.4119891850341935
6.74,23.71,1.38,1.2,14.08,54.13,1322.33,10.47,Silt,12.39,Potato,Sowing,Zaid,Sprinkler,Reservoir,1.23,No,67.36,Central,1346.04,147.41760000000002,0.48690544004833874,6.637455128504347
6.54,45.37,0.85,1.55,19.4,80.42,207.54,5.74,Silt,17.66,Maize,Flowering,Zaid,Drip,Reservoir,0.37,No,68.61,South,252.91,111.356,0.28768207245178096,7.353176727039729
7.4,14.85,0.5,1.19,26.97,30.51,697.79,8.73,Silt,1.19,Potato,Harvest,Zaid,Sprinkler,Rainwater,1.29,No,7.82,Central,712.64,235.4481,0.2056396497853383,6.7139941794091795
7.86,24.86,0.83,2.55,36.59,66.37,2160.09,8.43,Silt,12.81,Cotton,Vegetative,Rabi,Drip,Groundwater,11.45,Yes,34.63,West,2184.9500000000003,308.4537,0.2101011209010303,7.795431821927081
7.19,11.96,0.71,0.69,27.028161580790396,46.43,2433.92,10.25,Silt,17.99,Wheat,Sowing,Zaid,Drip,Rainwater,14.8,Yes,100.86,East,2445.88,277.03865620310154,0.35074020841891784,7.135621693755259
8.01,54.07,1.16,3.38,38.73,41.84,376.93,6.09,Silt,7.59,Wheat,Harvest,Kharif,Sprinkler,Reservoir,14.85,Yes,7.36,North,431.0,235.86569999999998,0.23494577637083766,7.391084230454376
7.73,15.0,1.15,2.23,36.94,84.5,518.12,5.64,Clay,9.77,Maize,Flowering,Zaid,Rainfed,River,10.86,No,15.4,East,533.12,208.34159999999997,0.3045665871537896,8.0463668238141
7.99,52.4,0.45,2.15,36.39,52.15,2151.2,5.46,Sandy,16.76,Wheat,Flowering,Zaid,Drip,Groundwater,2.53,Yes,15.0,South,2203.6,198.6894,0.13353139262452265,7.548944997275447
6.48,51.42,0.59,2.58,34.22,55.35,1010.97,10.06,Sandy,3.97,Maize,Vegetative,Kharif,Canal,Reservoir,10.35,No,66.8,South,1062.39,344.2532,0.15255323539810114,7.547014749936402
6.57,47.05,1.13,0.38,22.69,36.8,1907.59,5.7,Silt,13.76,Wheat,Vegetative,Kharif,Rainfed,Rainwater,7.5,No,68.12,West,1954.6399999999999,129.333,0.5981992539745792,6.728619043660925
6.74,19.06,0.41,1.84,12.68,37.06,259.22,10.63,Sandy,0.68,Rice,Vegetative,Zaid,Rainfed,River,6.15,No,102.63,East,278.28000000000003,134.7884,0.13485094416853147,6.154689927010898
7.75,64.41,0.51,3.4,35.64,37.46,1142.94,5.62,Loamy,6.43,Cotton,Vegetative,Rabi,Canal,Rainwater,5.64,Yes,104.91,East,1207.3500000000001,200.29680000000002,0.10966940088221372,7.197491041168791
7.83,35.3,1.24,0.42,25.45,47.73,2435.57,5.47,Loamy,10.47,Potato,Harvest,Zaid,Canal,Groundwater,10.44,Yes,39.14,North,2470.8700000000003,139.2115,0.6276692511804384,7.103098764570664
8.15,11.04,1.45,0.5,16.13,89.19,1706.5,7.59,Clay,10.12,Maize,Harvest,Zaid,Canal,River,7.31,Yes,50.63,East,1717.54,122.4267,0.676340062243564,7.272144679832135
4.97,33.93,1.11,2.93,28.27,30.02,1500.68,4.84,Sandy,8.11,Wheat,Vegetative,Rabi,Sprinkler,Rainwater,14.33,Yes,38.48,South,1534.6100000000001,136.8268,0.2487666562021074,6.744842624926196
7.86,43.07,1.48,2.32,41.55,75.92,899.86,7.46,Clay,3.78,Wheat,Sowing,Zaid,Rainfed,Reservoir,8.13,Yes,99.74,Central,942.9300000000001,309.96299999999997,0.36865113498544805,8.056894635227662
5.77,52.42,0.87,1.43,34.21,85.63,2178.54,6.22,Clay,12.44,Potato,Flowering,Kharif,Canal,Reservoir,12.3,Yes,52.92,East,2230.96,212.7862,0.3060312111199775,7.9828949963400815
7.6,43.6,1.44,2.1,17.49,61.52,2233.57,6.67,Loamy,5.66,Wheat,Flowering,Rabi,Sprinkler,Reservoir,12.58,No,18.54,South,2277.17,116.65829999999998,0.381524900562156,6.981920563779172
6.24,62.37,0.48,2.93,12.38,89.55,2079.71,9.12,Sandy,15.93,Rice,Flowering,Zaid,Sprinkler,Rainwater,2.0,Yes,48.8,South,2142.08,112.90559999999999,0.11523526357758475,7.011781004203435
7.74,50.42,0.92,0.56,16.42,73.54,144.37,4.45,Clay,15.73,Maize,Sowing,Rabi,Drip,Reservoir,2.8,Yes,81.36,Central,194.79000000000002,73.06900000000002,0.46357273891544515,7.0971573761492
5.58,50.48,1.18,0.63,32.09,45.28,967.95,7.3,Loamy,7.12,Rice,Vegetative,Kharif,Rainfed,River,12.72,Yes,0.7,West,1018.4300000000001,234.257,0.5446044685269834,7.282097866878834
8.18,37.89,1.31,0.85,14.58,80.72,2409.18,6.08,Loamy,6.76,Cotton,Sowing,Kharif,Sprinkler,Rainwater,4.34,Yes,12.92,North,2447.0699999999997,88.6464,0.5353863885085873,7.071486433438255
6.2,9.72,0.61,1.03,18.48,67.08,1806.88,10.1,Sandy,10.93,Rice,Vegetative,Kharif,Drip,Rainwater,9.09,No,100.49,West,1816.6000000000001,186.648,0.2627431241045288,7.123381364824781
6.26,9.23,1.51,0.38,27.3,89.29,2266.6,5.08,Silt,10.39,Cotton,Sowing,Zaid,Sprinkler,Rainwater,0.38,Yes,66.86,East,2275.83,138.684,0.7391730029552276,7.799186354314856
6.77,41.41,0.97,0.2,34.59,71.58,1939.73,9.93,Loamy,18.89,Potato,Vegetative,Rabi,Canal,Reservoir,4.21,No,108.48,South,1981.14,343.4787,0.5924056107584136,7.814784131765816
7.79,11.7,0.55,0.68,18.07,89.21,1643.84,4.61,Clay,13.94,Sugarcane,Flowering,Kharif,Canal,Reservoir,10.9,Yes,78.83,West,1655.54,83.3027,0.28320779205685986,7.38586639108918
6.27,32.63,0.54,3.05,21.5,61.92,2169.48,7.55,Silt,11.46,Wheat,Vegetative,Kharif,Rainfed,Rainwater,8.67,No,92.8,South,2202.11,162.325,0.12516314295400605,7.194647039219475
5.51,49.86,0.65,0.98,26.52,41.0,2277.0,8.89,Silt,1.76,Maize,Vegetative,Rabi,Drip,River,8.63,No,50.91,West,2326.86,235.7628,0.2838870014832293,6.99239050181883
8.1,13.11,0.59,3.3,17.33,70.22,1840.41,5.8,Clay,4.44,Wheat,Harvest,Zaid,Sprinkler,Groundwater,8.39,No,44.76,West,1853.52,100.51399999999998,0.12857728078726394,7.104893688716533
7.61,16.39,0.54,1.54,17.66,50.65,279.51,7.12,Sandy,9.27,Rice,Sowing,Zaid,Sprinkler,Groundwater,7.02,Yes,24.06,North,295.9,125.7392,0.19276551595503788,6.797358770639533
6.79,14.18,0.5,0.79,37.32,35.99,2020.79,5.47,Loamy,4.6,Rice,Vegetative,Kharif,Drip,Reservoir,4.06,Yes,41.86,West,2034.97,204.1404,0.24633619771348464,7.203514741308825
