num__Soil_pH,num__Soil_Moisture,num__Organic_Carbon,num__Electrical_Conductivity,num__Temperature_C,num__Humidity,num__Rainfall_mm,num__Sunlight_Hours,cat__Soil_Type,cat__Wind_Speed_kmh,cat__Crop_Type,cat__Crop_Growth_Stage,cat__Season,cat__Irrigation_Type,cat__Water_Source,cat__Field_Area_hectare,cat__Mulching_Used,cat__Previous_Irrigation_mm,cat__Region
6.34,63.04,0.67,2.37,36.55,83.27,1716.75,6.08,Silt,5.65,Wheat,Harvest,Zaid,Sprinkler,Groundwater,2.48,No,28.16,Central
5.76,39.46,0.82,1.72,23.26,86.89,104.08,7.19,Silt,1.74,Potato,Harvest,Kharif,Canal,Reservoir,1.14,No,15.69,Central
7.97,16.58,1.34,0.31,14.98,32.04,1513.16,7.39,Clay,6.83,Maize,Vegetative,Rabi,Sprinkler,Groundwater,7.3,Yes,45.18,South
7.72,38.68,1.44,1.32,18.12,45.55,801.26,8.35,Loamy,0.62,Potato,Harvest,Rabi,Canal,Reservoir,12.48,Yes,59.79,North
6.11,45.19,1.43,0.3,34.09,56.51,2248.37,7.15,Clay,12.78,Sugarcane,Harvest,Kharif,Rainfed,Groundwater,3.1,Yes,83.55,West
5.02,64.28,1.12,1.0,35.91,93.23,934.61,6.81,Loamy,3.6,Sugarcane,Sowing,Rabi,Sprinkler,River,8.29,No,16.65,Central
4.84,17.24,0.72,1.97,28.73,90.13,2260.76,6.48,Silt,3.43,Cotton,Harvest,Zaid,Drip,River,6.32,No,16.64,North
7.61,34.71,0.31,0.29,14.34,91.28,1471.08,10.26,Clay,13.23,Potato,Sowing,Rabi,Rainfed,Groundwater,11.4,Yes,10.97,Central
4.86,63.69,0.83,2.62,21.89,80.63,542.23,10.85,Loamy,19.48,Maize,Harvest,Kharif,Canal,Groundwater,10.16,No,110.99,North
5.48,56.13,1.44,2.05,30.52,47.54,570.49,5.08,Clay,15.78,Wheat,Flowering,Kharif,Sprinkler,Groundwater,11.45,Yes,69.36,Central
6.17,9.5,1.21,0.7,30.84,77.68,775.21,5.93,Loamy,15.62,Wheat,Flowering,Kharif,Canal,River,7.25,Yes,90.25,East
5.25,26.19,1.59,3.23,12.13,38.23,593.58,7.62,Sandy,10.58,Potato,Vegetative,Kharif,Canal,Reservoir,4.44,Yes,95.56,East
8.02,59.76,0.8,0.53,14.82,78.69,2440.3,8.87,Clay,1.83,Rice,Flowering,Kharif,Sprinkler,Rainwater,10.69,Yes,66.45,North
6.03,56.07,0.63,3.17,24.92,85.48,1434.13,7.55,Clay,3.77,Sugarcane,Vegetative,Zaid,Canal,River,7.49,Yes,72.77,South
6.2,54.89,1.29,3.4,19.61,71.11,307.53,7.67,Sandy,14.84,Maize,Harvest,Zaid,Rainfed,Rainwater,13.82,Yes,36.1,North
5.12,28.62,0.71,3.44,32.96,88.63,2476.41,10.39,Silt,8.77,Rice,Vegetative,Zaid,Canal,Reservoir,9.74,Yes,54.92,Central
7.9,45.27,0.63,0.73,33.15,32.57,535.28,5.8,Clay,11.13,Sugarcane,Sowing,Kharif,Sprinkler,Rainwater,12.94,No,107.0,South
5.82,13.32,0.49,2.56,30.59,54.96,2171.81,9.39,Sandy,2.78,Potato,Flowering,Rabi,Rainfed,River,8.99,Yes,21.42,North
7.26,36.65,1.17,2.1,40.02,66.33,1421.79,8.4,Sandy,19.21,Potato,Vegetative,Rabi,Canal,River,8.73,No,49.48,South
7.57,13.21,0.66,3.25,13.18,66.66,2316.28,7.87,Sandy,1.89,Potato,Harvest,Kharif,Drip,River,8.23,No,40.87,Central
7.99,24.46,1.01,2.93,27.89,92.79,1394.28,8.21,Sandy,5.42,Sugarcane,Sowing,Zaid,Canal,Reservoir,3.59,No,53.12,North
7.75,34.64,0.46,2.81,40.29,85.43,986.85,7.79,Clay,8.79,Maize,Flowering,Rabi,Sprinkler,River,4.97,No,85.89,North
7.65,31.72,0.3,1.72,39.78,47.78,2195.57,10.05,Sandy,12.54,Wheat,Sowing,Rabi,Sprinkler,Groundwater,13.4,No,9.7,West
5.93,8.03,1.48,3.5,21.27,32.03,792.31,6.42,Silt,19.05,Cotton,Flowering,Kharif,Rainfed,Groundwater,15.0,Yes,27.02,North
6.54,9.3,0.76,3.26,37.4,30.27,1285.74,5.56,Clay,3.65,Cotton,Vegetative,Zaid,Canal,Rainwater,5.17,Yes,75.89,Central
6.43,45.36,0.42,0.5,17.05,59.05,158.48,5.08,Silt,14.86,Maize,Vegetative,Zaid,Rainfed,River,11.15,No,75.19,South
7.27,42.79,1.35,3.3,32.31,59.36,832.16,9.79,Loamy,9.77,Cotton,Vegetative,Rabi,Drip,Rainwater,11.72,Yes,40.07,South
6.27,43.49,1.05,0.48,20.7,80.85,2440.01,5.21,Loamy,13.41,Wheat,Harvest,Zaid,Drip,River,5.83,No,99.09,Central
7.48,56.11,1.53,2.07,13.39,40.37,1143.3,9.93,Clay,9.94,Potato,Harvest,Kharif,Sprinkler,Groundwater,2.72,Yes,51.29,East
7.68,10.14,1.1,1.16,19.44,43.46,660.54,9.19,Sandy,3.54,Maize,Sowing,Rabi,Rainfed,River,8.94,Yes,29.93,Central
7.14,48.85,0.32,1.92,22.05,33.56,1936.05,9.24,Loamy,18.51,Sugarcane,Vegetative,Zaid,Sprinkler,Groundwater,14.35,Yes,76.24,Central
4.85,34.84,0.44,1.77,36.28,42.05,924.31,5.75,Clay,5.82,Sugarcane,Sowing,Zaid,Drip,Rainwater,13.71,Yes,82.64,East
6.0,42.68,0.9,1.8,13.41,64.4,716.72,4.05,Clay,13.45,Wheat,Vegetative,Rabi,Drip,Reservoir,4.25,No,53.06,North
8.1,35.91,0.63,2.8,12.59,64.87,1741.26,9.94,Clay,19.35,Cotton,Sowing,Kharif,Canal,Groundwater,13.53,No,70.74,West
5.45,14.6,1.09,1.15,35.03,57.55,1810.71,5.5,Silt,10.55,Sugarcane,Harvest,Zaid,Sprinkler,Reservoir,9.28,No,36.66,South
4.98,44.08,0.55,2.4,22.63,37.54,2414.31,6.97,Sandy,10.42,Maize,Sowing,Kharif,Drip,Groundwater,12.67,No,106.7,North
6.63,25.21,0.56,1.53,14.5,87.58,825.22,5.75,Loamy,3.57,Potato,Harvest,Rabi,Sprinkler,Reservoir,11.09,Yes,90.18,South
7.16,52.31,0.6,1.47,40.27,71.35,2097.4,6.4,Clay,10.81,Potato,Flowering,Zaid,Drip,Groundwater,8.42,Yes,66.29,Central
8.11,58.37,1.18,1.96,31.7,74.18,2322.44,6.52,Silt,17.57,Cotton,Vegetative,Rabi,Drip,Reservoir,13.53,No,51.94,North
6.1,21.36,1.04,3.23,22.33,52.99,1965.95,7.03,Loamy,2.17,Wheat,Harvest,Rabi,Sprinkler,Groundwater,6.52,No,59.38,South
6.52,25.25,0.8,0.31,38.88,38.48,638.83,10.5,Silt,4.89,Cotton,Harvest,Rabi,Sprinkler,Reservoir,4.36,Yes,101.98,South
5.11,57.07,1.38,0.93,40.64,66.56,1657.22,10.46,Sandy,8.59,Potato,Harvest,Zaid,Drip,River,8.42,Yes,96.98,North
7.95,48.42,1.55,2.48,27.22,76.96,311.22,4.97,Clay,7.02,Maize,Flowering,Kharif,Canal,Groundwater,11.34,Yes,61.22,Central
5.23,28.46,1.59,2.45,12.66,37.63,1290.39,4.48,Loamy,19.72,Rice,Flowering,Kharif,Rainfed,Rainwater,2.57,No,112.23,South
5.17,53.49,0.4,2.97,12.02,29.13,2106.35,7.86,Sandy,7.22,Maize,Vegetative,Rabi,Drip,River,13.98,No,49.41,East
5.42,40.88,1.3,3.46,15.49,80.23,445.69,9.78,Sandy,17.21,Potato,Sowing,Kharif,Sprinkler,River,12.87,Yes,11.48,South
5.37,14.47,1.19,0.83,35.49,38.28,2036.12,8.86,Clay,14.43,Potato,Flowering,Zaid,Drip,Rainwater,1.95,Yes,75.04,West
6.26,55.25,0.38,1.57,19.7,87.08,578.37,9.22,Clay,17.43,Rice,Harvest,Rabi,Rainfed,Rainwater,11.05,No,60.32,West
5.05,47.08,0.99,2.08,12.23,36.02,1746.71,4.44,Sandy,8.09,Sugarcane,Flowering,Rabi,Canal,Groundwater,0.78,No,17.69,East
6.35,17.45,0.36,3.49,41.75,93.0,808.3,8.04,Sandy,11.47,Rice,Flowering,Zaid,Sprinkler,Groundwater,8.88,Yes,21.04,Central
5.87,42.81,1.59,1.98,40.8,44.19,140.34,5.05,Clay,13.31,Potato,Harvest,Zaid,Sprinkler,River,14.31,No,40.84,Central
7.93,24.78,0.64,0.24,32.08,81.59,766.38,7.16,Loamy,12.61,Wheat,Harvest,Kharif,Drip,Reservoir,14.77,No,119.42,South
5.06,56.68,0.96,2.05,29.7,66.94,249.37,7.23,Silt,10.03,Wheat,Flowering,Kharif,Rainfed,Rainwater,5.29,No,57.44,East
5.2,26.72,1.5,2.09,39.29,87.11,1927.15,4.54,Silt,13.18,Maize,Harvest,Kharif,Sprinkler,Rainwater,0.48,No,7.58,South
7.61,41.27,1.21,0.69,22.73,93.04,843.83,4.59,Sandy,13.9,Wheat,Sowing,Zaid,Sprinkler,Groundwater,9.36,Yes,54.66,Central
5.62,61.17,1.5,1.86,20.55,38.49,1538.38,10.13,Sandy,6.81,Wheat,Vegetative,Kharif,Rainfed,Groundwater,3.19,No,54.93,North
7.91,8.21,0.5,1.26,33.44,31.62,1273.79,7.71,Clay,2.88,Maize,Vegetative,Zaid,Drip,Rainwater,12.44,Yes,65.2,Central
5.66,34.88,0.67,2.47,21.98,60.78,1652.95,4.12,Silt,9.67,Wheat,Sowing,Rabi,Sprinkler,Reservoir,12.33,Yes,36.64,Central
7.85,33.51,1.5,0.18,37.53,44.55,1902.34,10.89,Loamy,10.46,Maize,Vegetative,Zaid,Canal,Rainwater,4.12,Yes,94.96,North
8.02,25.79,0.63,1.21,28.45,52.44,540.27,5.03,Sandy,13.83,Wheat,Flowering,Kharif,Drip,Groundwater,9.27,No,90.64,South
6.66,47.51,1.35,1.69,38.0,79.39,2443.08,7.69,Sandy,18.57,Maize,Vegetative,Zaid,Sprinkler,River,14.71,No,52.1,South
7.09,46.96,0.84,2.41,18.8,59.85,2325.56,10.37,Sandy,16.07,Wheat,Vegetative,Kharif,Rainfed,Reservoir,7.98,No,30.6,West
5.95,52.43,0.89,1.45,25.02,33.23,103.82,5.97,Clay,17.88,Cotton,Sowing,Kharif,Sprinkler,Rainwater,9.77,Yes,13.27,North
5.36,21.5,0.4,3.3,19.96,53.98,1629.18,4.54,Sandy,15.73,Wheat,Harvest,Kharif,Sprinkler,Rainwater,0.3,No,63.98,East
7.12,54.51,1.39,1.35,14.34,67.37,962.41,8.65,Loamy,15.34,Wheat,Flowering,Rabi,Drip,Rainwater,9.99,No,79.18,Central
6.47,16.17,0.37,1.76,30.89,50.16,361.8,10.32,Silt,10.3,Maize,Sowing,Kharif,Rainfed,Rainwater,12.56,Yes,11.58,West
5.83,44.79,1.0,2.9,38.96,41.47,1444.73,10.06,Sandy,18.66,Sugarcane,Sowing,Kharif,Canal,Reservoir,9.83,No,111.18,North
7.28,63.16,0.49,3.4,39.36,39.76,139.69,4.31,Sandy,11.52,Potato,Sowing,Zaid,Sprinkler,River,11.11,No,78.36,North
5.43,19.97,1.37,2.61,33.96,77.48,1194.47,5.64,Sandy,19.86,Wheat,Sowing,Zaid,Sprinkler,Rainwater,14.47,No,78.46,Central
7.98,49.58,0.68,2.6,28.91,81.2,2104.65,8.43,Silt,1.73,Maize,Harvest,Zaid,Sprinkler,River,0.5,Yes,12.12,East
7.37,16.99,0.92,1.48,20.79,29.09,2028.49,6.66,Loamy,0.71,Potato,Sowing,Kharif,Canal,Groundwater,8.32,Yes,67.19,North
6.11,63.12,0.43,0.55,30.48,60.28,285.15,8.31,Sandy,15.39,Rice,Sowing,Zaid,Canal,Rainwater,6.45,No,28.22,East
6.85,33.6,1.11,0.78,28.67,39.51,1533.33,4.17,Clay,7.6,Sugarcane,Harvest,Rabi,Sprinkler,River,5.32,No,111.57,South
4.99,11.68,0.45,3.01,13.28,43.51,447.57,9.21,Sandy,12.76,Wheat,Flowering,Rabi,Drip,Reservoir,7.35,Yes,21.33,North
7.58,52.38,1.4,3.27,30.06,73.94,838.83,10.84,Silt,15.84,Wheat,Sowing,Rabi,Rainfed,Groundwater,2.7,No,28.65,South
7.77,49.16,0.36,1.41,36.57,77.14,61.83,6.18,Sandy,11.49,Potato,Harvest,Rabi,Sprinkler,River,1.32,No,20.02,West
6.7,13.46,1.05,0.97,31.71,89.98,999.4,7.95,Clay,7.88,Sugarcane,Vegetative,Rabi,Drip,Rainwater,2.59,No,0.06,West
7.23,24.27,1.11,0.66,19.54,28.43,738.0,7.54,Silt,14.86,Maize,Harvest,Rabi,Drip,River,6.99,Yes,83.56,South
5.71,42.52,1.53,3.08,37.26,44.41,1391.81,9.33,Sandy,12.17,Maize,Vegetative,Kharif,Rainfed,Rainwater,14.25,Yes,116.47,South
6.74,23.71,1.38,1.2,14.08,54.13,1322.33,10.47,Silt,12.39,Potato,Sowing,Zaid,Sprinkler,Reservoir,1.23,No,67.36,Central
6.54,45.37,0.85,1.55,19.4,80.42,207.54,5.74,Silt,17.66,Maize,Flowering,Zaid,Drip,Reservoir,0.37,No,68.61,South
7.4,14.85,0.5,1.19,26.97,30.51,697.79,8.73,Silt,1.19,Potato,Harvest,Zaid,Sprinkler,Rainwater,1.29,No,7.82,Central
7.86,24.86,0.83,2.55,36.59,66.37,2160.09,8.43,Silt,12.81,Cotton,Vegetative,Rabi,Drip,Groundwater,11.45,Yes,34.63,West
7.19,11.96,0.71,0.69,27.028161580790393,46.43,2433.92,10.25,Silt,17.99,Wheat,Sowing,Zaid,Drip,Rainwater,14.8,Yes,100.86,East
8.01,54.07,1.16,3.38,38.73,41.84,376.93,6.09,Silt,7.59,Wheat,Harvest,Kharif,Sprinkler,Reservoir,14.85,Yes,7.36,North
7.73,15.0,1.15,2.23,36.94,84.5,518.12,5.64,Clay,9.77,Maize,Flowering,Zaid,Rainfed,River,10.86,No,15.4,East
7.99,52.4,0.45,2.15,36.39,52.15,2151.2,5.46,Sandy,16.76,Wheat,Flowering,Zaid,Drip,Groundwater,2.53,Yes,15.0,South
6.48,51.42,0.59,2.58,34.22,55.35,1010.97,10.06,Sandy,3.97,Maize,Vegetative,Kharif,Canal,Reservoir,10.35,No,66.8,South
6.57,47.05,1.13,0.38,22.69,36.8,1907.59,5.7,Silt,13.76,Wheat,Vegetative,Kharif,Rainfed,Rainwater,7.5,No,68.12,West
6.74,19.06,0.41,1.84,12.68,37.06,259.22,10.63,Sandy,0.68,Rice,Vegetative,Zaid,Rainfed,River,6.15,No,102.63,East
7.75,64.41,0.51,3.4,35.64,37.46,1142.94,5.62,Loamy,6.43,Cotton,Vegetative,Rabi,Canal,Rainwater,5.64,Yes,104.91,East
7.83,35.3,1.24,0.42,25.45,47.73,2435.57,5.47,Loamy,10.47,Potato,Harvest,Zaid,Canal,Groundwater,10.44,Yes,39.14,North
8.15,11.04,1.45,0.5,16.13,89.19,1706.5,7.59,Clay,10.12,Maize,Harvest,Zaid,Canal,River,7.31,Yes,50.63,East
4.97,33.93,1.11,2.93,28.27,30.02,1500.68,4.84,Sandy,8.11,Wheat,Vegetative,Rabi,Sprinkler,Rainwater,14.33,Yes,38.48,South
7.86,43.07,1.48,2.32,41.55,75.92,899.86,7.46,Clay,3.78,Wheat,Sowing,Zaid,Rainfed,Reservoir,8.13,Yes,99.74,Central
5.77,52.42,0.87,1.43,34.21,85.63,2178.54,6.22,Clay,12.44,Potato,Flowering,Kharif,Canal,Reservoir,12.3,Yes,52.92,East
7.6,43.6,1.44,2.1,17.49,61.52,2233.57,6.67,Loamy,5.66,Wheat,Flowering,Rabi,Sprinkler,Reservoir,12.58,No,18.54,South
6.24,62.37,0.48,2.93,12.38,89.55,2079.71,9.12,Sandy,15.93,Rice,Flowering,Zaid,Sprinkler,Rainwater,2.0,Yes,48.8,South
7.74,50.42,0.92,0.56,16.42,73.54,144.37,4.45,Clay,15.73,Maize,Sowing,Rabi,Drip,Reservoir,2.8,Yes,81.36,Central
5.58,50.48,1.18,0.63,32.09,45.28,967.95,7.3,Loamy,7.12,Rice,Vegetative,Kharif,Rainfed,River,12.72,Yes,0.7,West
8.18,37.89,1.31,0.85,14.58,80.72,2409.18,6.08,Loamy,6.76,Cotton,Sowing,Kharif,Sprinkler,Rainwater,4.34,Yes,12.92,North
6.2,9.72,0.61,1.03,18.48,67.08,1806.88,10.1,Sandy,10.93,Rice,Vegetative,Kharif,Drip,Rainwater,9.09,No,100.49,West
6.26,9.23,1.51,0.38,27.3,89.29,2266.6,5.08,Silt,10.39,Cotton,Sowing,Zaid,Sprinkler,Rainwater,0.38,Yes,66.86,East
6.77,41.41,0.97,0.2,34.59,71.58,1939.73,9.93,Loamy,18.89,Potato,Vegetative,Rabi,Canal,Reservoir,4.21,No,108.48,South
7.79,11.7,0.55,0.68,18.07,89.21,1643.84,4.61,Clay,13.94,Sugarcane,Flowering,Kharif,Canal,Reservoir,10.9,Yes,78.83,West
6.27,32.63,0.54,3.05,21.5,61.92,2169.48,7.55,Silt,11.46,Wheat,Vegetative,Kharif,Rainfed,Rainwater,8.67,No,92.8,South
5.51,49.86,0.65,0.98,26.52,41.0,2277.0,8.89,Silt,1.76,Maize,Vegetative,Rabi,Drip,River,8.63,No,50.91,West
8.1,13.11,0.59,3.3,17.33,70.22,1840.41,5.8,Clay,4.44,Wheat,Harvest,Zaid,Sprinkler,Groundwater,8.39,No,44.76,West
7.61,16.39,0.54,1.54,17.66,50.65,279.51,7.12,Sandy,9.27,Rice,Sowing,Zaid,Sprinkler,Groundwater,7.02,Yes,24.06,North
6.79,14.18,0.5,0.79,37.32,35.99,2020.79,5.47,Loamy,4.6,Rice,Vegetative,Kharif,Drip,Reservoir,4.06,Yes,41.86,West
5.94,33.64,1.29,1.7,35.25,58.72,2315.43,7.76,Clay,12.0,Wheat,Vegetative,Kharif,Rainfed,Groundwater,14.14,Yes,85.09,Central
5.81,56.5,0.74,0.49,25.14,80.27,501.07,4.77,Clay,17.02,Sugarcane,Flowering,Rabi,Sprinkler,Groundwater,6.38,No,91.21,North
6.66,32.17,0.72,0.31,24.22,93.25,687.47,6.16,Silt,11.6,Rice,Flowering,Kharif,Canal,Rainwater,11.93,Yes,110.81,North
5.79,57.37,1.25,3.44,39.26,88.0,1152.0,6.05,Loamy,2.22,Maize,Vegetative,Kharif,Sprinkler,River,12.97,Yes,5.84,Central
6.19,44.06,1.55,2.43,32.03,38.83,537.01,8.41,Clay,13.96,Cotton,Vegetative,Zaid,Drip,River,10.67,No,43.48,East
6.62,43.61,1.04,2.56,18.78,88.89,1936.06,10.97,Clay,13.07,Potato,Flowering,Rabi,Canal,Reservoir,8.86,Yes,12.54,West
7.97,24.9,0.68,0.17,31.58,62.23,57.76,9.8,Loamy,2.3,Rice,Harvest,Zaid,Canal,Rainwater,8.38,Yes,108.22,West
5.43,35.62,0.93,0.5,30.33,63.69,913.26,10.39,Clay,9.63,Sugarcane,Flowering,Zaid,Canal,Reservoir,4.44,Yes,33.87,West
4.94,9.52,1.41,0.65,36.33,85.77,1158.81,10.89,Sandy,2.74,Sugarcane,Vegetative,Rabi,Drip,River,14.58,Yes,78.82,West
5.48,18.42,0.98,1.7,21.88,89.57,1990.81,7.87,Sandy,4.17,Cotton,Harvest,Rabi,Canal,River,2.66,No,98.0,Central
6.89,46.46,0.41,0.83,19.69,33.99,465.02,6.94,Loamy,5.78,Potato,Vegetative,Rabi,Sprinkler,Groundwater,1.08,No,10.51,Central
7.12,17.11,0.82,0.56,19.97,94.31,953.11,6.46,Loamy,2.63,Potato,Flowering,Kharif,Canal,Reservoir,7.67,No,39.58,South
6.94,51.32,0.99,0.11,37.48,73.09,201.06,4.72,Silt,7.03,Wheat,Sowing,Zaid,Drip,Reservoir,2.03,No,107.71,Central
5.08,37.03,0.93,2.35,16.14,45.79,2283.92,10.56,Clay,3.38,Wheat,Harvest,Zaid,Sprinkler,Rainwater,3.82,Yes,83.62,South
5.35,49.0,1.12,0.27,32.96,43.68,1676.37,9.53,Silt,17.97,Sugarcane,Vegetative,Zaid,Drip,River,7.66,Yes,96.02,East
7.62,50.5,0.74,1.7,29.11,92.06,2230.28,8.52,Sandy,7.25,Cotton,Sowing,Zaid,Canal,River,2.8,No,30.82,Central
6.42,63.75,0.91,2.13,33.83,87.14,2215.65,7.25,Sandy,9.45,Sugarcane,Harvest,Rabi,Rainfed,Groundwater,6.82,No,10.82,South
8.01,63.03,0.65,0.19,15.51,46.9,1465.54,6.26,Loamy,1.87,Wheat,Sowing,Zaid,Sprinkler,Reservoir,10.29,No,87.11,North
6.11,25.74,1.52,1.07,32.25,81.85,1736.7,6.09,Sandy,0.88,Cotton,Sowing,Zaid,Drip,River,0.59,No,80.09,South
6.93,51.68,1.47,2.93,15.5,71.01,2230.79,9.59,Silt,8.36,Rice,Sowing,Kharif,Drip,Reservoir,6.44,No,110.58,West
8.19,52.76,0.9,2.93,24.29,85.69,292.5,10.18,Silt,13.43,Cotton,Flowering,Kharif,Drip,Reservoir,14.72,No,91.44,Central
5.48,40.14,0.81,1.34,40.6,79.61,731.38,9.23,Loamy,16.3,Potato,Vegetative,Rabi,Rainfed,Rainwater,14.37,Yes,91.67,South
5.16,31.7,1.13,0.98,37.08,53.41,591.23,10.35,Clay,17.38,Wheat,Vegetative,Rabi,Drip,Rainwater,4.29,No,114.01,Central
6.76,47.31,0.5,1.75,25.28,65.0,1293.64,6.82,Clay,16.57,Maize,Sowing,Kharif,Canal,Groundwater,6.74,Yes,34.44,East
5.43,12.63,1.54,3.03,34.61,81.89,2474.68,6.25,Clay,15.73,Potato,Vegetative,Zaid,Canal,Reservoir,14.23,Yes,11.54,East
4.83,18.06,1.0,3.28,22.57,54.65,2101.21,9.04,Sandy,3.86,Cotton,Harvest,Kharif,Rainfed,Groundwater,1.83,No,20.32,Central
7.89,59.84,1.33,1.26,14.46,56.88,116.44,10.7,Loamy,19.7,Potato,Vegetative,Rabi,Canal,Groundwater,8.58,Yes,102.17,West
7.31,18.1,1.44,0.31,33.36,34.8,1354.4,8.2,Clay,4.46,Potato,Sowing,Zaid,Sprinkler,Groundwater,13.78,Yes,92.37,West
5.05,25.24,0.97,1.03,17.79,59.93,2130.35,8.45,Silt,5.21,Wheat,Vegetative,Rabi,Rainfed,Reservoir,9.83,Yes,49.87,West
7.99,31.57,1.41,3.21,36.18,30.39,2320.52,5.01,Sandy,2.73,Rice,Flowering,Zaid,Rainfed,Rainwater,11.93,Yes,30.68,West
6.27,61.67,0.33,0.68,13.42,43.64,2233.82,4.62,Clay,1.33,Maize,Sowing,Rabi,Canal,Groundwater,1.31,Yes,30.23,North
5.38,49.28,1.19,1.25,34.36,58.56,790.57,7.74,Silt,7.68,Sugarcane,Sowing,Kharif,Canal,Groundwater,2.97,No,115.52,North
6.01,20.47,0.76,2.29,36.55,67.46,1104.19,8.56,Clay,14.31,Potato,Sowing,Rabi,Canal,Groundwater,2.02,Yes,47.37,West
7.26,27.96,1.49,3.49,22.38,29.41,1491.98,9.76,Loamy,6.63,Wheat,Flowering,Zaid,Rainfed,Rainwater,10.85,Yes,21.72,South
5.81,37.77,1.59,2.01,32.58,86.79,687.08,5.3,Silt,11.82,Potato,Vegetative,Rabi,Sprinkler,Groundwater,13.0,No,16.06,North
7.91,58.21,0.67,2.67,20.81,51.04,1173.99,9.25,Loamy,17.31,Sugarcane,Harvest,Zaid,Rainfed,Reservoir,6.76,Yes,51.34,Central
7.49,40.21,1.11,0.59,36.74,79.46,1067.03,4.16,Silt,5.58,Wheat,Sowing,Kharif,Canal,Reservoir,1.68,Yes,68.01,Central
5.12,60.93,0.56,1.85,24.3,74.64,56.84,4.4,Silt,16.47,Sugarcane,Flowering,Kharif,Rainfed,Rainwater,13.07,Yes,34.9,East
6.81,30.06,0.62,0.63,35.08,58.04,2355.53,4.93,Clay,17.95,Rice,Vegetative,Kharif,Canal,Groundwater,1.65,Yes,93.86,West
5.85,25.82,0.59,2.23,34.92,27.62,1048.46,8.94,Silt,0.63,Cotton,Harvest,Kharif,Canal,River,14.03,No,12.43,East
5.98,10.93,1.11,3.04,33.86,61.83,2133.99,6.47,Loamy,16.61,Cotton,Vegetative,Kharif,Canal,River,0.98,No,32.69,South
5.48,52.88,0.86,0.38,35.6,69.01,1759.67,4.59,Clay,1.7,Maize,Sowing,Rabi,Canal,River,6.41,Yes,89.14,Central
5.87,63.1,1.09,2.44,15.16,85.09,177.45,10.98,Silt,15.95,Cotton,Flowering,Rabi,Drip,Reservoir,2.62,No,88.4,South
8.18,48.86,1.49,1.0,27.55,35.69,274.09,6.37,Loamy,11.12,Sugarcane,Flowering,Zaid,Rainfed,Rainwater,2.75,No,119.7,Central
6.32,48.58,0.73,2.95,41.04,36.3,898.65,4.38,Loamy,5.4,Maize,Harvest,Rabi,Canal,River,0.78,No,30.46,South
5.62,42.65,1.34,0.41,37.77,83.06,1631.64,7.15,Sandy,15.77,Rice,Vegetative,Kharif,Canal,Rainwater,1.34,No,98.15,South
